"creator.nationality: Descending",Count
American,14078
Japanese,2806
French,2202
English,1507
British,1280
German,1135
Italian,1002
Dutch,382
Chinese,360
undetermined,295
Belgian,258
Spanish,255
Danish,169
Swiss,165
Austrian,128
Flemish,111
African,104
Australian,85
Persian,79
Russian,61
Scottish,55
European,51
Indian,49
Irish,45
Canadian,39
Mexican,39
Swedish,39
Iranian,30
Liberian,27
"South African",26
Czech,22
Egyptian,21
Polish,20
Nepalese,19
Brazilian,17
Turkish,16
Hungarian,15
Israeli,15
Serbian,15
Chilean,14
"Coptic Egyptian",13
Thai,13
Venetian,13
Netherlandish,12
"South American",12
Kissi,11
Norwegian,11
Greek,10
"New Zealander",10
"Ancient Roman",8
Bohemian,8
Argentine,7
Colombian,7
Korean,7
Nigerian,7
Asian,6
Congolese,6
Finnish,6
Lithuanian,6
Malian,6
"Near Eastern",6
Yoruba,6
Beninese,5
Jordanian,5
Portuguese,5
Bamana,4
Cameroonian,4
Cuban,4
Tibetan,4
Uruguayan,4
Czechoslovakian,3
Guinean,3
Icelandic,3
Khmer,3
"Puerto Rican",3
Syrian,3
Albanian,2
"Baulé",2
"Congolese (Republic of Congo)",2
Croatian,2
Dogon,2
Ejagham,2
Filipino,2
Georgian,2
"Indo-Persian",2
Ivorian,2
Mesopotamian,2
Montenegrin,2
Moroccan,2
"Native American",2
"Northern European",2
Pakistani,2
Pende,2
"Sierra Leonean",2
Slovene,2
Swabian,2
Ukrainian,2
Venezuelan,2
Vietnamese,2
Achaemenid,1
Algerian,1
"American | Vietnamese",1
Asante,1
Bamileke,1
Burkinabe,1
"Central African",1
Chola,1
Cycladic,1
Cypriot,1
"Eastern European",1
Ecuadorian,1
Estonian,1
Etruscan,1
"French | Swiss",1
"Greco-Bactrian",1
Greenlandic,1
Javanese,1
"Kuba (Congolese)",1
Luxembourgeois,1
Malagasy,1
Panamanian,1
Peruvian,1
Romanian,1
"Romano-Egyptian",1
Scandinavian,1
Sicilian,1
Sudanese,1
Sumerian,1
"Syro-Hittite",1
Taiwanese,1
"Turkish, Asia Minor",1
"Turkish, Brusa",1
Yugoslavian,1
